date,daily_net_inflow_100mn,rolling_7d_net_inflow_100mn,missing_flow_codes
2025-08-07,-15.245334,-59.07391200000012,
2025-08-08,-11.958498,-48.78747000000012,
2025-08-11,23.765409,-13.463253000000115,
2025-08-12,-0.5401260000000001,-22.210317000000117,
2025-08-13,18.682038,-0.5826150000001213,
2025-08-14,-18.126234,-0.6449490000001212,
2025-08-15,44.76906,41.34631499999988,
2025-08-18,3.8284469999999997,60.42009599999988,
2025-08-19,-0.3697919999999999,72.00880199999987,
2025-08-20,-34.328835,13.914557999999886,
2025-08-21,-16.127028,-1.6723440000001126,
2025-08-22,39.530385,19.17600299999989,
2025-08-25,19.564731,56.866967999999886,
2025-08-26,16.211277,28.309184999999886,
2025-08-27,-8.727930000000002,15.752807999999883,
2025-08-28,-12.108195,4.0144049999998845,
2025-08-29,-24.004791,14.33844899999988,
2025-09-01,-43.21728,-12.751803000000123,
2025-09-02,-14.955678,-67.23786600000012,
2025-09-03,-17.9037,-104.70629700000012,
2025-09-04,29.567025,-91.35054900000011,
2025-09-05,13.51296,-69.10965900000011,
2025-09-08,-24.776937,-81.77840100000012,
2025-09-09,-32.016861,-89.79047100000012,
2025-09-10,-18.851103,-65.42429400000012,
2025-09-11,26.37198,-24.09663600000012,
2025-09-12,10.239245999999998,4.0463099999998775,
2025-09-15,-15.030324,-40.551039000000124,
2025-09-16,3.2027759999999996,-50.86122300000012,
2025-09-17,6.246162,-19.83812400000012,
2025-09-18,-26.599959000000002,-14.421222000000128,
2025-09-19,2.7080640000000002,7.1379449999998705,
2025-09-22,-12.442077000000001,-31.67611200000013,
2025-09-23,-22.027635,-63.94299300000013,
2025-09-24,-13.151214,-62.06388300000013,
2025-09-25,-9.287253,-74.55391200000014,
2025-09-26,9.795977999999998,-71.00409600000013,
2025-09-29,15.928956000000001,-28.475181000000127,
2025-09-30,-4.593699,-35.77694400000013,
2025-10-09,19.328355000000002,-4.0065120000001215,
2025-10-10,13.024872,31.045994999999877,
2025-10-13,6.758621999999999,50.955830999999876,
2025-10-14,-26.892018,33.35106599999988,
2025-10-15,19.260882,42.81596999999988,
