date,wind_all_a_proxy_amount,hs300_amount,csi500_amount,csi1000_amount,csi2000_amount,hs300_share_pct,csi500_share_pct,csi1000_share_pct,csi2000_share_pct
2025-09-22,20970.88,5631.49,4219.16,4405.15,4584.79,26.85385639515366,20.11913663136692,21.006033127842034,21.86264954069643
2025-09-23,24645.2,6805.14,4950.69,5039.6,5301.22,27.61243568727379,20.0878467206596,20.448606625225196,21.510152078295167
2025-09-24,23013.14,6291.61,4772.62,4943.98,4792.0,27.33920707908612,20.738673644709067,21.48329171942638,20.822886403159238
2025-09-25,23370.66,6698.67,4930.47,4647.45,4816.88,28.66273352999017,21.096836803068463,19.885831208874716,20.61080003731174
2025-09-26,21108.33,5987.24,4301.98,4368.63,4372.75,28.364347155838477,20.380484860716123,20.69623698321942,20.715755343980312
2025-09-29,21279.09,6933.95,4338.64,4195.35,3915.91,32.585744973116796,20.38921777200059,19.71583371281385,18.40261966089715
2025-09-30,21415.97,6646.24,4449.56,4426.4,3963.36,31.034036749210987,20.776831495374715,20.668687899730898,18.50656309286948
2025-10-09,26123.7,8622.08,5357.57,5305.0,4660.8,33.004819378571945,20.50846549301975,20.307230599034593,17.84127057040159
2025-10-10,24799.05,7927.43,5021.27,4857.04,4698.55,31.966668078011057,20.247832074212525,19.585588964093382,18.94649190190753
2025-10-13,23215.63,7140.02,4732.86,4709.91,4527.64,30.75522826647392,20.386524078821033,20.287668264871552,19.50255065229761
2025-10-14,25411.32,8089.59,5058.39,5066.9,4943.89,31.834591827579207,19.906049744759425,19.939538756743055,19.45546315579041
2025-10-15,20412.99,6073.26,3974.59,4037.98,4229.43,29.751937369292786,19.47088594076615,19.781423495529072,20.719306676777872
2025-10-16,19014.24,5605.67,3598.38,3742.97,4095.31,29.48143075926253,18.924658571681015,19.685088649349115,21.53812090307054
2025-10-17,19022.69,5590.86,3481.14,3838.75,4035.75,29.390480526150615,18.299935498081503,20.17984838106493,21.21545375548884
2025-10-20,17068.69,5057.99,3146.75,3284.45,3603.06,29.63314700776685,18.435802630430338,19.242542925086813,21.10917709560605
2025-10-21,18474.93,5513.9,3449.91,3481.59,3974.69,29.845309292105572,18.67346723370535,18.844942849580487,21.513965140869278
2025-10-22,16395.4,4409.35,2862.0,3321.81,3765.52,26.893823877429035,17.45611573978067,20.26062188174732,22.966929748588015
2025-10-23,16089.3,4208.0,2863.04,3285.75,3695.51,26.15402783216175,17.794683423144576,20.421957449982287,22.968743202003818
2025-10-24,19351.27,5519.87,3660.62,3974.73,4098.16,28.524587791912364,18.91669125592274,20.539892213792683,21.17773148739075
2025-10-27,22966.26,6726.7,4717.62,4581.7,4613.27,29.289488144782826,20.541524828160966,19.949700125314266,20.08716264642132
2025-10-28,21008.5,5715.63,4220.69,4310.16,4577.97,27.206273651141206,20.09039198419687,20.516267225170765,21.791036961229977
2025-10-29,22178.73,6458.99,4431.41,4391.62,4610.66,29.122452006945394,19.98044973720317,19.801043612506216,20.788656519106368
2025-10-30,23926.2,7199.56,4738.32,4785.07,4797.78,30.09069555549983,19.80389698322341,19.999289481823272,20.052411164330312
2025-10-31,22882.98,6807.12,4349.18,4755.88,4528.96,29.747524142397534,19.006178391101162,20.783481871679303,19.791827812636292
2025-11-03,20754.61,5576.03,3903.97,4324.23,4503.05,26.866464848050626,18.810134230419166,20.83503375876492,21.696625472605845
2025-11-04,18805.24,5051.78,3263.92,3816.79,4404.1,26.863682675679755,17.356438949994786,20.296417381538333,23.419536256915627
2025-11-05,18355.67,4683.61,3118.45,3733.52,4596.25,25.51587602086985,16.98902845823661,20.3398731835994,25.039946784835426
2025-11-06,20202.56,5536.42,3528.1,4051.69,4802.33,27.40454675051083,17.4636283718499,20.05532962159251,23.77089834159631
2025-11-07,19641.43,5075.74,3363.99,4196.11,4714.33,25.842008448468363,17.127011627972095,21.363566705682832,24.00196930671545
2025-11-10,21424.18,5939.77,3713.11,4337.98,4932.12,27.724608363073873,17.331398447921927,20.248056168310757,23.02127782720272
2025-11-11,19615.74,4776.29,3385.98,4048.67,4936.26,24.34927257396356,17.261546084929755,20.639904484867763,25.164791132019488
2025-11-12,19055.96,4923.09,3138.4,3904.82,4683.83,25.83490939317673,16.46938805497073,20.49133184578473,24.579344205172557
2025-11-13,19999.34,5100.61,3395.96,4205.96,4881.18,25.503891628423737,16.980360351891612,21.03049400630221,24.406705421278904
2025-11-14,19120.11,4447.2,3104.85,4062.93,4870.14,23.259280412089677,16.23866180686199,21.249511639838893,25.471296974755898
2025-11-17,18676.6,4389.4,3108.23,3913.18,4723.28,23.50213636314961,16.642376021331508,20.95231466112676,25.28982791300344
2025-11-18,18854.42,4201.5,3065.4,4180.65,4709.3,22.283899478212536,16.258256684639466,22.17331532871337,24.9771671576214
2025-11-19,16861.18,3852.3,2567.55,3671.73,4416.11,22.84715541854129,15.22758193673278,21.776233929060716,26.190990191671045
2025-11-20,16725.6,4150.65,2541.58,3567.12,4144.66,24.8161500932702,15.195747835653131,21.32730664370785,24.780336729325107
2025-11-21,19254.93,4812.96,3109.69,4086.72,4801.65,24.99598804046548,16.150097663299736,21.22427866525612,24.937249836795043
2025-11-24,16948.9,4258.07,2702.13,3689.93,4131.24,25.122987332511247,15.942804547787762,21.77091138657966,24.37467918271982
2025-11-25,17739.49,4115.24,2892.05,4041.74,4453.18,23.198186644599136,16.30289258597626,22.783856807608334,25.103201952254544
2025-11-26,17458.45,4273.61,2748.58,3769.64,4474.67,24.478748113377762,15.74355111708084,21.59206573321228,25.63039674197881
2025-11-27,16711.37,4177.9,2530.13,3656.26,4251.23,25.00034407711636,15.140171033254607,21.87887647751202,25.439147119595816
2025-11-28,15509.85,3418.32,2432.55,3421.85,4229.5,22.039671563554776,15.683904099652802,22.06243129366177,27.269767276924018
2025-12-01,18360.92,4638.62,3085.34,3923.2,4461.04,25.263548885349973,16.80384207327302,21.367121037507925,24.296386019872646
2025-12-02,15566.12,3643.66,2473.6,3202.19,4099.34,23.40763144572957,15.890922079490585,20.571536131033294,26.335014762831072
2025-12-03,16245.24,3744.86,2513.09,3350.34,4344.43,23.052044783579685,15.469700663086542,20.6235180274345,26.742787425732097
2025-12-04,15107.47,3487.67,2399.13,3113.16,4006.52,23.085731760513177,15.880422069347153,20.60675943754977,26.52012547435143
2025-12-05,16725.58,4121.47,2751.08,3528.06,4297.13,24.641716460654877,16.448338413376394,21.093797644087676,25.691964045491993
2025-12-08,19909.65,4967.16,3472.45,4184.75,4927.73,24.948504870753627,17.44103989773803,21.01870198622276,24.750460203971436
2025-12-09,18582.91,4521.14,3055.22,3923.13,4726.49,24.329558718198605,16.441020270775674,21.111494378436962,25.4346063130048
