date,wind_code,index_name,close,pct_change
2024-07-29,932000.CSI,中证2000,1763.73,0.465378568661845
2024-07-29,h30269.CSI,红利低波,10171.26,0.4802102216316939
2024-07-30,000300.SH,沪深300,3369.38,-0.6299509841509399
2024-07-30,000688.SH,科创50,710.01,0.3405879027699177
2024-07-30,000852.SH,中证1000,4702.49,0.3593951746289292
2024-07-30,000905.SH,中证500,4699.28,-0.20302240042134878
2024-07-30,000922.CSI,中证红利,5035.22,-0.6301372566432706
2024-07-30,000998.CSI,中证TMT,1550.19,0.13241696487398258
2024-07-30,932000.CSI,中证2000,1776.27,0.7109931792281143
2024-07-30,h30269.CSI,红利低波,10091.35,-0.7856450429936879
2024-07-31,000300.SH,沪深300,3442.08,2.157666989179008
2024-07-31,000688.SH,科创50,743.37,4.6985253728820675
2024-07-31,000852.SH,中证1000,4889.08,3.967897858368663
2024-07-31,000905.SH,中证500,4886.41,3.982099385437765
2024-07-31,000922.CSI,中证红利,5114.86,1.5816587954448735
2024-07-31,000998.CSI,中证TMT,1605.1,3.542146446564609
2024-07-31,932000.CSI,中证2000,1837.79,3.463437427868521
2024-07-31,h30269.CSI,红利低波,10181.15,0.8898710281577626
2024-08-01,000300.SH,沪深300,3419.27,-0.6626807046901884
2024-08-01,000688.SH,科创50,738.87,-0.6053513055409798
2024-08-01,000852.SH,中证1000,4878.29,-0.22069591825046864
2024-08-01,000905.SH,中证500,4852.97,-0.6843469950331582
2024-08-01,000922.CSI,中证红利,5105.84,-0.17634891277570341
2024-08-01,000998.CSI,中证TMT,1604.42,-0.042364961684615565
2024-08-01,932000.CSI,中证2000,1843.56,0.3139640546526046
2024-08-01,h30269.CSI,红利低波,10186.51,0.05264631205708081
2024-08-02,000300.SH,沪深300,3384.39,-1.020100781745814
2024-08-02,000688.SH,科创50,725.66,-1.7878652536982176
2024-08-02,000852.SH,中证1000,4809.89,-1.4021306646386233
2024-08-02,000905.SH,中证500,4788.62,-1.3259921244104245
2024-08-02,000922.CSI,中证红利,5092.8,-0.25539382354323736
2024-08-02,000998.CSI,中证TMT,1565.76,-2.4095934979618816
2024-08-02,932000.CSI,中证2000,1818.9,-1.3376293692638042
2024-08-02,h30269.CSI,红利低波,10175.99,-0.10327383961730163
2024-08-05,000300.SH,沪深300,3343.32,-1.2135126270908403
2024-08-05,000688.SH,科创50,704.3,-2.943527271725055
2024-08-05,000852.SH,中证1000,4678.78,-2.7258419631218334
2024-08-05,000905.SH,中证500,4693.85,-1.979067038102822
2024-08-05,000922.CSI,中证红利,5034.11,-1.1524112472510284
2024-08-05,000998.CSI,中证TMT,1503.25,-3.9923104434906986
2024-08-05,932000.CSI,中证2000,1767.86,-2.806091593820448
2024-08-05,h30269.CSI,红利低波,10059.62,-1.1435742370029756
2024-08-06,000300.SH,沪深300,3342.98,-0.01016953208188287
2024-08-06,000688.SH,科创50,713.86,1.3573761181314925
2024-08-06,000852.SH,中证1000,4749.95,1.521123027797855
2024-08-06,000905.SH,中证500,4750.78,1.212863640721351
2024-08-06,000922.CSI,中证红利,5018.31,-0.313858854891913
2024-08-06,000998.CSI,中证TMT,1519.37,1.0723432562780522
2024-08-06,932000.CSI,中证2000,1803.54,2.01825936442932
2024-08-06,h30269.CSI,红利低波,10018.47,-0.40906117726118296
2024-08-07,000300.SH,沪深300,3341.49,-0.04457101149274445
2024-08-07,000688.SH,科创50,707.59,-0.8783234807945517
2024-08-07,000852.SH,中证1000,4743.41,-0.13768565984905168
2024-08-07,000905.SH,中证500,4751.94,0.02441704309608106
2024-08-07,000922.CSI,中证红利,5031.85,0.2698119486440609
2024-08-07,000998.CSI,中证TMT,1507.62,-0.773346847706613
2024-08-07,932000.CSI,中证2000,1807.22,0.20404315956397134
2024-08-07,h30269.CSI,红利低波,10063.4,0.4484716728202942
2024-08-08,000300.SH,沪深300,3342.94,0.04339381533389197
2024-08-08,000688.SH,科创50,708.92,0.187961955369631
2024-08-08,000852.SH,中证1000,4739.49,-0.08264096926051678
2024-08-08,000905.SH,中证500,4755.81,0.08144042222757442
2024-08-08,000922.CSI,中证红利,5055.42,0.4684161888768523
2024-08-08,000998.CSI,中证TMT,1507.37,-0.01658242793276532
2024-08-08,932000.CSI,中证2000,1795.96,-0.6230564070782707
2024-08-08,h30269.CSI,红利低波,10074.05,0.10582904386191583
2024-08-09,000300.SH,沪深300,3331.63,-0.3383249475013006
2024-08-09,000688.SH,科创50,705.55,-0.47537098685324075
2024-08-09,000852.SH,中证1000,4702.75,-0.775188891631795
2024-08-09,000905.SH,中证500,4720.31,-0.7464553882514213
2024-08-09,000922.CSI,中证红利,5034.24,-0.4189562884982956
2024-08-09,000998.CSI,中证TMT,1501.23,-0.40733197556007683
2024-08-09,932000.CSI,中证2000,1784.02,-0.6648254972271173
2024-08-09,h30269.CSI,红利低波,10077.88,0.038018473205903014
2024-08-12,000300.SH,沪深300,3325.86,-0.1731884993231514
2024-08-12,000688.SH,科创50,707.33,0.2522854510665473
2024-08-12,000852.SH,中证1000,4674.1,-0.6092180107383882
2024-08-12,000905.SH,中证500,4714.16,-0.13028805311516845
2024-08-12,000922.CSI,中证红利,5062.34,0.5581775997965943
2024-08-12,000998.CSI,中证TMT,1492.35,-0.5915149577346623
2024-08-12,932000.CSI,中证2000,1767.21,-0.942254010605259
2024-08-12,h30269.CSI,红利低波,10110.67,0.325366049208764
2024-08-13,000300.SH,沪深300,3334.39,0.25647501698808917
2024-08-13,000688.SH,科创50,710.75,0.4835084048463889
2024-08-13,000852.SH,中证1000,4697.59,0.5025566419203598
2024-08-13,000905.SH,中证500,4731.84,0.3750403041050898
2024-08-13,000922.CSI,中证红利,5070.04,0.15210357265611485
2024-08-13,000998.CSI,中证TMT,1502.95,0.7102891412872347
2024-08-13,932000.CSI,中证2000,1780.29,0.7401497275366209
2024-08-13,h30269.CSI,红利低波,10147.37,0.36298286859328677
2024-08-14,000300.SH,沪深300,3309.24,-0.7542608992949229
2024-08-14,000688.SH,科创50,700.93,-1.3816391136123873
2024-08-14,000852.SH,中证1000,4649.28,-1.0283996687663333
2024-08-14,000905.SH,中证500,4667.07,-1.368812132278363
2024-08-14,000922.CSI,中证红利,5047.33,-0.4479254601541638
2024-08-14,000998.CSI,中证TMT,1489.58,-0.8895838184903138
2024-08-14,932000.CSI,中证2000,1775.81,-0.25164439501429436
2024-08-14,h30269.CSI,红利低波,10126.16,-0.20901967701977275
2024-08-15,000300.SH,沪深300,3341.95,0.9884444766774303
2024-08-15,000688.SH,科创50,707.55,0.9444595038020864
2024-08-15,000852.SH,中证1000,4691.85,0.9156256452612199
2024-08-15,000905.SH,中证500,4698.38,0.6708705890419608
2024-08-15,000922.CSI,中证红利,5092.54,0.8957211040292679
2024-08-15,000998.CSI,中证TMT,1498.09,0.5713019777386918
2024-08-15,932000.CSI,中证2000,1794.32,1.0423412414616529
2024-08-15,h30269.CSI,红利低波,10228.77,1.0133160052774315
2024-08-16,000300.SH,沪深300,3345.63,0.11011535181557619
2024-08-16,000688.SH,科创50,705.22,-0.3293053494452636
2024-08-16,000852.SH,中证1000,4655.65,-0.7715506676471029
2024-08-16,000905.SH,中证500,4670.38,-0.5959500934364592
2024-08-16,000922.CSI,中证红利,5092.86,0.006283701257125962
2024-08-16,000998.CSI,中证TMT,1496.58,-0.10079501231567978
2024-08-16,932000.CSI,中证2000,1790.69,-0.20230505149582134
2024-08-16,h30269.CSI,红利低波,10259.62,0.3016002901619741
2024-08-19,000300.SH,沪深300,3356.97,0.3389496148707316
2024-08-19,000688.SH,科创50,703.32,-0.2694194719378262
2024-08-19,000852.SH,中证1000,4663.61,0.17097505181875583
2024-08-19,000905.SH,中证500,4682.96,0.2693570972811532
2024-08-19,000922.CSI,中证红利,5135.8,0.8431411819684875
2024-08-19,000998.CSI,中证TMT,1500.48,0.26059415467265534
2024-08-19,932000.CSI,中证2000,1780.8,-0.5523010683032847
2024-08-19,h30269.CSI,红利低波,10408.48,1.4509309311650842
2024-08-20,000300.SH,沪深300,3332.7,-0.7229733956514384
2024-08-20,000688.SH,科创50,693.52,-1.393391343911743
2024-08-20,000852.SH,中证1000,4579.3,-1.8078269838172512
2024-08-20,000905.SH,中证500,4602.01,-1.7286075473632034
2024-08-20,000922.CSI,中证红利,5076.74,-1.1499668990225587
2024-08-20,000998.CSI,中证TMT,1477.67,-1.5201802089997885
2024-08-20,932000.CSI,中证2000,1750.0,-1.729559748427667
2024-08-20,h30269.CSI,红利低波,10306.84,-0.9765114598865532
2024-08-21,000300.SH,沪深300,3321.64,-0.3318630539802525
2024-08-21,000688.SH,科创50,691.64,-0.2710808628446193
2024-08-21,000852.SH,中证1000,4548.26,-0.6778328565501313
2024-08-21,000905.SH,中证500,4587.12,-0.3235542730241847
2024-08-21,000922.CSI,中证红利,5036.84,-0.7859374322892188
2024-08-21,000998.CSI,中证TMT,1475.58,-0.14143888689627238
2024-08-21,932000.CSI,中证2000,1747.14,-0.16342857142856992
2024-08-21,h30269.CSI,红利低波,10229.0,-0.7552266262016327
2024-08-22,000300.SH,沪深300,3313.14,-0.2558976890933429
2024-08-22,000688.SH,科创50,685.53,-0.8834075530622876
2024-08-22,000852.SH,中证1000,4491.84,-1.2404743792131523
2024-08-22,000905.SH,中证500,4533.37,-1.1717591865920252
2024-08-22,000922.CSI,中证红利,5028.88,-0.15803559374528708
2024-08-22,000998.CSI,中证TMT,1454.82,-1.4069044036921108
2024-08-22,932000.CSI,中证2000,1716.38,-1.7605915954073459
2024-08-22,h30269.CSI,红利低波,10258.59,0.2892755890116394
2024-08-23,000300.SH,沪深300,3327.19,0.42406901006297737
2024-08-23,000688.SH,科创50,685.76,0.03355068341284184
2024-08-23,000852.SH,中证1000,4495.34,0.07791907102656648
2024-08-23,000905.SH,中证500,4537.09,0.08205815982371689
2024-08-23,000922.CSI,中证红利,5034.11,0.10399930004294511
2024-08-23,000998.CSI,中证TMT,1455.64,0.05636436122682387
2024-08-23,932000.CSI,中证2000,1707.44,-0.5208636782064624
2024-08-23,h30269.CSI,红利低波,10241.69,-0.1647399886339107
2024-08-26,000300.SH,沪深300,3324.22,-0.08926451450023132
2024-08-26,000688.SH,科创50,682.5,-0.4753849743350469
2024-08-26,000852.SH,中证1000,4512.89,0.39040428532659543
2024-08-26,000905.SH,中证500,4544.36,0.1602348641970952
2024-08-26,000922.CSI,中证红利,5028.44,-0.11263162704032714
2024-08-26,000998.CSI,中证TMT,1451.59,-0.2782281333296832
2024-08-26,932000.CSI,中证2000,1727.24,1.1596307922972393
2024-08-26,h30269.CSI,红利低波,10244.66,0.028999120262374056
2024-08-27,000300.SH,沪深300,3305.33,-0.5682536053570386
2024-08-27,000688.SH,科创50,674.35,-1.1941391941391877
2024-08-27,000852.SH,中证1000,4459.68,-1.1790670723195174
