date,code,shares,nav,close_price,shares_prev,share_change,valuation_price,valuation_source,net_inflow_100mn,name,venue
2025-06-25,588000,79733668200.0,1.0473,1.048,80089168200.0,-355500000.0,1.0473,NAV,-3.7231514999999993,科创50ETF华夏,SSE
2025-06-26,588000,79369168200.0,1.0414,1.041,79733668200.0,-364500000.0,1.0414,NAV,-3.7959030000000005,科创50ETF华夏,SSE
2025-06-27,588000,79486168200.0,1.0397,1.041,79369168200.0,117000000.0,1.0397,NAV,1.2164490000000001,科创50ETF华夏,SSE
2025-06-30,588000,78964168200.0,1.0554,1.056,79486168200.0,-522000000.0,1.0554,NAV,-5.509188,科创50ETF华夏,SSE
2025-07-01,588000,79292668200.0,1.0465,1.048,78964168200.0,328500000.0,1.0465,NAV,3.4377525,科创50ETF华夏,SSE
2025-07-02,588000,79918168200.0,1.034,1.035,79292668200.0,625500000.0,1.034,NAV,6.46767,科创50ETF华夏,SSE
2025-07-03,588000,80246668200.0,1.0362,1.036,79918168200.0,328500000.0,1.0362,NAV,3.403917,科创50ETF华夏,SSE
2025-07-04,588000,80327668200.0,1.0361,1.035,80246668200.0,81000000.0,1.0361,NAV,0.839241,科创50ETF华夏,SSE
2025-07-07,588000,80512168200.0,1.0294,1.029,80327668200.0,184500000.0,1.0294,NAV,1.8992430000000002,科创50ETF华夏,SSE
2025-07-08,588000,80174668200.0,1.0437,1.044,80512168200.0,-337500000.0,1.0437,NAV,-3.5224875,科创50ETF华夏,SSE
2025-07-09,588000,80746168200.0,1.0345,1.036,80174668200.0,571500000.0,1.0345,NAV,5.9121675,科创50ETF华夏,SSE
2025-07-10,588000,81934168200.0,1.0314,1.033,80746168200.0,1188000000.0,1.0314,NAV,12.253032,科创50ETF华夏,SSE
2025-07-11,588000,82312168200.0,1.0464,1.047,81934168200.0,378000000.0,1.0464,NAV,3.955392,科创50ETF华夏,SSE
2025-07-14,588000,82834168200.0,1.0443,1.046,82312168200.0,522000000.0,1.0443,NAV,5.451246,科创50ETF华夏,SSE
2025-07-15,588000,83761168200.0,1.0478,1.048,82834168200.0,927000000.0,1.0478,NAV,9.713106000000002,科创50ETF华夏,SSE
2025-07-16,588000,84040168200.0,1.0492,1.049,83761168200.0,279000000.0,1.0492,NAV,2.927268,科创50ETF华夏,SSE
2025-07-17,588000,83473168200.0,1.0577,1.057,84040168200.0,-567000000.0,1.0577,NAV,-5.997159,科创50ETF华夏,SSE
2025-07-18,588000,83104168200.0,1.0596,1.06,83473168200.0,-369000000.0,1.0596,NAV,-3.9099240000000006,科创50ETF华夏,SSE
2025-07-21,588000,83518168200.0,1.0602,1.061,83104168200.0,414000000.0,1.0602,NAV,4.389228,科创50ETF华夏,SSE
2025-07-22,588000,83365168200.0,1.0691,1.069,83518168200.0,-153000000.0,1.0691,NAV,-1.635723,科创50ETF华夏,SSE
2025-07-23,588000,82879168200.0,1.0739,1.074,83365168200.0,-486000000.0,1.0739,NAV,-5.2191540000000005,科创50ETF华夏,SSE
2025-07-24,588000,82555168200.0,1.0866,1.086,82879168200.0,-324000000.0,1.0866,NAV,-3.520584,科创50ETF华夏,SSE
2025-07-25,588000,81803668200.0,1.1092,1.109,82555168200.0,-751500000.0,1.1092,NAV,-8.335638,科创50ETF华夏,SSE
2025-07-28,588000,82600168200.0,1.1098,1.11,81803668200.0,796500000.0,1.1098,NAV,8.839557,科创50ETF华夏,SSE
2025-07-29,588000,81574168200.0,1.1259,1.125,82600168200.0,-1026000000.0,1.1259,NAV,-11.551734,科创50ETF华夏,SSE
2025-07-30,588000,81596668200.0,1.1135,1.112,81574168200.0,22500000.0,1.1135,NAV,0.2505375,科创50ETF华夏,SSE
2025-07-31,588000,80008168200.0,1.1023,1.101,81596668200.0,-1588500000.0,1.1023,NAV,-17.5100355,科创50ETF华夏,SSE
2025-08-01,588000,79495168200.0,1.0911,1.091,80008168200.0,-513000000.0,1.0911,NAV,-5.597343,科创50ETF华夏,SSE
2025-08-04,588000,78761668200.0,1.1041,1.104,79495168200.0,-733500000.0,1.1041,NAV,-8.0985735,科创50ETF华夏,SSE
2025-08-05,588000,78955168200.0,1.1084,1.109,78761668200.0,193500000.0,1.1084,NAV,2.144754,科创50ETF华夏,SSE
2025-08-06,588000,79211668200.0,1.1142,1.113,78955168200.0,256500000.0,1.1142,NAV,2.857923,科创50ETF华夏,SSE
2025-08-07,588000,78383668200.0,1.1122,1.112,79211668200.0,-828000000.0,1.1122,NAV,-9.209016000000002,科创50ETF华夏,SSE
2025-08-08,588000,78140668200.0,1.0971,1.096,78383668200.0,-243000000.0,1.0971,NAV,-2.665953,科创50ETF华夏,SSE
