date,pe_ttm,dividend_yield_ttm,erp,pe_ttm_mean,pe_ttm_std,pe_ttm_pctile,erp_mean,erp_std,erp_pctile,cn10y
2024-01-25,7.9912,4.364,10.0154,10.465191516709512,1.810612435252749,2.7910392948953358,6.535390117149425,1.6357453254012193,98.29440118650352,2.4984
2024-01-26,7.8728,4.4325,10.2026,10.46423983113069,1.8109611074523266,1.7988252569750367,6.536749349871015,1.6369648111395347,98.96219421793921,2.4994
2024-01-29,7.937,4.3948,10.1052,10.463312403669725,1.8112756798891958,2.5688073394495414,6.538071487940718,1.6381017053989901,98.55502037791774,2.494
2024-01-30,7.757,4.4978,10.4359,10.462319625825385,1.8116848174555564,1.247248716067498,6.53951512813037,1.6395146634355178,99.33333333333333,2.4557
2024-01-31,7.6723,4.5584,10.6009,10.4612965163183,1.8121400973072561,0.9167583425009167,6.541018787838578,1.641072156051185,99.4816734542762,2.433
2024-02-01,7.6944,4.5357,10.5611,10.460282258064517,1.8125819411026938,1.0263929618768328,6.542506604719467,1.6425894312694798,99.4078460399704,2.4354
2024-02-02,7.6985,4.5258,10.5651,10.459270245511176,1.8130204972977577,1.0626603151337486,6.543994800574176,1.6441064578041253,99.40806511283759,2.4244
2024-02-05,7.6861,4.5372,10.6103,10.458254432234432,1.8134649899366047,0.9523809523809524,6.545498611668639,1.645660680705183,99.51923076923077,2.4002
2024-02-06,7.982,4.366,10.0757,10.457347711461003,1.8137517813593382,3.0025631636763093,6.546803676876895,1.6467553956738759,98.26247689463956,2.4525
2024-02-07,8.0372,4.384,10.0268,10.456461859443632,1.8140106112857086,3.404099560761347,6.548089706560236,1.64780912525125,98.00443458980045,2.4153
2024-02-08,7.9458,4.4357,10.1474,10.4555432125869,1.8143142032368051,2.8540065861690453,6.549419337256002,1.648955985445259,98.6701145179165,2.4379
2024-02-09,7.8836,4.4722,10.2544,10.454602487198244,1.8146489014050469,2.0848573518653986,6.550787498505169,1.6501875343071515,98.85524372230428,
2024-02-14,7.9467,4.4319,10.1536,10.453685521023766,1.8149505371785235,2.9250457038391224,6.552117440366185,1.6513338393407015,98.63418235511259,
2024-02-15,7.9679,4.4238,10.1202,10.45277697368421,1.81524078755052,2.997076023391813,6.553434075997047,1.652450708075478,98.30258302583026,
2024-02-16,8.1473,4.3198,9.8438,10.451934636463282,1.8154438816043914,4.201680672268908,6.554647785301364,1.6533536191379732,96.97528587237181,
2024-02-19,8.0548,4.3689,9.9806,10.451059130752373,1.8156901407275952,3.688823959094229,6.555911042017699,1.6543568220563716,97.6401179941003,2.4344
2024-02-20,8.1095,4.3413,9.9178,10.450204235122309,1.8159097222317178,4.052573932092004,6.557150219665314,1.6553102816782446,97.19867305565795,2.4134
2024-02-21,8.3333,4.2794,9.5881,10.449431642335766,1.8160285102173128,5.437956204379562,6.558267002929992,1.6560272329441064,95.94694178334562,2.4119
2024-02-22,8.4808,4.2154,9.388,10.448713425757024,1.8160863807155003,7.1871579715432325,6.559309261860773,1.656612303077281,95.50644567219153,2.4033
2024-02-23,8.474,4.2206,9.3999,10.447993253099927,1.8161466142859943,7.038657913931437,6.560355134739322,1.6572035729659849,95.54491899852725,2.4009
2024-02-26,8.4074,4.247,9.5154,10.44724932555596,1.8162333412387521,6.306963179001094,6.561442747866028,1.6578678030124006,95.84100110415899,2.3789
2024-02-27,8.4646,4.2199,9.433,10.446526785714285,1.8162966221005317,6.997084548104956,6.562499244279616,1.658477342351857,95.65857247976453,2.3809
2024-02-28,8.3232,4.2802,9.677,10.44575326047359,1.8164177577685938,5.355191256830602,6.563644702446488,1.6592473326433566,96.13828613460831,2.3376
