date,hsi_close,hstech_close,vhsi_close,up_count,down_count,southbound_net_buy_100mn,short_ratio,hstech_hsi_ratio,advance_line,advance_line_ma20,southbound_ma20,breadth_z,vhsi_z,relative_z,southbound_z,short_z,hk_sentiment_z
2025-09-03,25343.43,5683.74,20.93,27.0,58.0,50.4427,0.1587,0.22426877498428585,-31.0,2.45,51.421185,0.12981736496631227,-0.6973398452211927,0.5167994045306676,0.4224097627755568,0.09686759376442852,0.09371085616315449
2025-09-04,25058.51,5578.86,20.62,27.0,56.0,6.478,0.1314,0.22263334891021055,-29.0,-1.4,51.44191500000001,-0.2242321411803625,-0.7653353065177546,0.3922300047461754,0.42267304118781,-0.8695748292829539,-0.20884784620941713
2025-09-05,25417.98,5687.45,20.41,76.0,7.0,51.4436,0.1328,0.22375696259104774,69.0,2.85,51.14266,0.16716375953348686,-0.8107921403714733,0.4768191967515189,0.409487494752706,-0.8182491064587089,-0.11511415915849407
2025-09-08,25633.91,5753.75,20.16,58.0,23.0,152.8343,0.1343,0.22445853948929367,35.0,3.75,58.76681500000001,0.24986739595287785,-0.8650402341308291,0.5293106815189892,0.7295309747702361,-0.7635487124487157,-0.023975978867488323
2025-09-09,25938.13,5828.74,20.34,60.0,26.0,93.5782,0.1501,0.22471704783652482,34.0,4.1,59.11222,0.2818232400055522,-0.8229963503654618,0.5481132315126598,0.7427010518752623,-0.2022197443419768,0.10948428573720714
2025-09-10,26200.26,5902.69,20.73,65.0,21.0,69.1692,0.1388,0.22529127573543165,44.0,2.6,66.35432,0.14295697836297364,-0.7341095194350234,0.5908633110613349,1.0456839664497455,-0.6029703708822117,0.08848487311136377
2025-09-11,26086.32,5888.77,21.18,39.0,38.0,173.7372,0.1403,0.22574169143060427,1.0,3.3,74.56823,0.20749431953740397,-0.6319976433299929,0.6241347814880829,1.387378590624921,-0.548745430407686,0.2076529235825458
2025-09-12,26388.16,5989.27,21.47,55.0,27.0,67.1201,0.1306,0.22696807962358878,28.0,6.45,61.42854,0.4986746414517309,-0.5659357570259259,0.7163252158275073,0.8318375176689368,-0.8922345629658992,0.11773341099127
2025-09-15,26446.56,6043.61,21.66,33.0,52.0,132.6407,0.1204,0.22852159222220203,-19.0,6.55,67.42339,0.5071843507224167,-0.5224118527579027,0.833132567405945,1.0817904762823793,-1.2516921283658964,0.12960068265738842
2025-09-16,26438.51,6077.66,21.47,35.0,50.0,-29.1464,0.1131,0.229879066558592,-15.0,6.05,57.405705,0.4600946332488444,-0.5642975587561322,0.9346250006913309,0.658340560232433,-1.505647656411617,-0.0033770041990281554
