date,indicator_key,indicator,group,value,mom_diff,yoy_diff
2016-07-31,M0017133,进口,component,49.3,0.19999999999999574,1.5
2016-07-31,M0017134,主要原材料购进价格,component,54.6,3.3000000000000043,9.899999999999999
2016-07-31,M0017135,原材料库存,component,47.3,0.29999999999999716,-1.1000000000000014
2016-07-31,M0017136,从业人员,component,48.2,0.30000000000000426,0.20000000000000284
2016-07-31,M0017137,供应商配送时间,component,50.5,-0.20000000000000284,0.10000000000000142
2016-07-31,M0017126,制造业PMI,headline,49.9,-0.10000000000000142,-0.10000000000000142
2016-07-31,M5207831,建筑业PMI,headline,61.1,-0.8999999999999986,1.0
2016-07-31,M5207838,服务业PMI,headline,52.6,0.3999999999999986,-0.19999999999999574
2016-08-31,M0017127,生产,component,52.6,0.5,0.8999999999999986
2016-08-31,M0017128,新订单,component,51.3,0.8999999999999986,1.5999999999999943
2016-08-31,M0017129,新出口订单,component,49.7,0.7000000000000028,2.0
2016-08-31,M0017130,在手订单,component,45.0,-0.5,0.3999999999999986
2016-08-31,M0017131,产成品库存,component,46.6,-0.19999999999999574,-0.6000000000000014
2016-08-31,M0017132,采购量,component,52.6,2.1000000000000014,3.200000000000003
2016-08-31,M0017133,进口,component,49.5,0.20000000000000284,2.299999999999997
2016-08-31,M0017134,主要原材料购进价格,component,57.2,2.6000000000000014,12.300000000000004
2016-08-31,M0017135,原材料库存,component,47.6,0.30000000000000426,-0.6999999999999957
2016-08-31,M0017136,从业人员,component,48.4,0.19999999999999574,0.5
2016-08-31,M0017137,供应商配送时间,component,50.6,0.10000000000000142,0.0
2016-08-31,M0017126,制造业PMI,headline,50.4,0.5,0.6999999999999957
2016-08-31,M5207831,建筑业PMI,headline,58.2,-2.8999999999999986,0.4000000000000057
2016-08-31,M5207838,服务业PMI,headline,52.7,0.10000000000000142,0.10000000000000142
2016-09-30,M0017127,生产,component,52.8,0.19999999999999574,0.5
2016-09-30,M0017128,新订单,component,50.9,-0.3999999999999986,0.6999999999999957
2016-09-30,M0017129,新出口订单,component,50.1,0.3999999999999986,2.200000000000003
2016-09-30,M0017130,在手订单,component,45.2,0.20000000000000284,1.4000000000000057
2016-09-30,M0017131,产成品库存,component,46.4,-0.20000000000000284,-0.3999999999999986
2016-09-30,M0017132,采购量,component,51.9,-0.7000000000000028,3.299999999999997
2016-09-30,M0017133,进口,component,50.4,0.8999999999999986,2.299999999999997
2016-09-30,M0017134,主要原材料购进价格,component,57.5,0.29999999999999716,11.700000000000003
2016-09-30,M0017135,原材料库存,component,47.4,-0.20000000000000284,-0.10000000000000142
2016-09-30,M0017136,从业人员,component,48.6,0.20000000000000284,0.7000000000000028
2016-09-30,M0017137,供应商配送时间,component,49.9,-0.7000000000000028,-0.8999999999999986
2016-09-30,M0017126,制造业PMI,headline,50.4,0.0,0.6000000000000014
2016-09-30,M5207831,建筑业PMI,headline,61.9,3.6999999999999957,6.699999999999996
2016-09-30,M5207838,服务业PMI,headline,52.3,-0.4000000000000057,-0.7000000000000028
2016-09-30,M6642294,高技术制造业,industry,52.4,,
2016-09-30,M6642295,装备制造业,industry,51.9,,1.0
2016-09-30,M6642296,消费品制造业,industry,50.8,,
2016-10-31,M0017127,生产,component,53.3,0.5,1.0999999999999943
2016-10-31,M0017128,新订单,component,52.8,1.8999999999999986,2.5
2016-10-31,M0017129,新出口订单,component,49.2,-0.8999999999999986,1.8000000000000043
2016-10-31,M0017130,在手订单,component,45.8,0.5999999999999943,1.3999999999999986
2016-10-31,M0017131,产成品库存,component,46.9,0.5,-0.30000000000000426
2016-10-31,M0017132,采购量,component,52.4,0.5,3.6000000000000014
2016-10-31,M0017133,进口,component,49.9,-0.5,2.3999999999999986
2016-10-31,M0017134,主要原材料购进价格,component,62.6,5.100000000000001,18.200000000000003
2016-10-31,M0017135,原材料库存,component,48.1,0.7000000000000028,0.8999999999999986
2016-10-31,M0017136,从业人员,component,48.8,0.19999999999999574,1.0
2016-10-31,M0017137,供应商配送时间,component,50.2,0.30000000000000426,-0.3999999999999986
2016-10-31,M0017126,制造业PMI,headline,51.2,0.8000000000000043,1.4000000000000057
2016-10-31,M5207831,建筑业PMI,headline,61.8,-0.10000000000000142,4.699999999999996
